Method,0,1,2,3,4
sctour_mse,-0.20351465,-0.102618523,-0.055511743,0.158476532,-0.391054966
sctour_nb,-0.207379788,-0.561506212,-0.49845767,-0.470897019,-0.410312461
sctour_zinb,-0.379626811,-0.493560255,0.153294727,-0.247148186,-0.138236319
velocyto,-0.344931871,-0.063872471,-0.169920266,-0.330845892,-0.15450497
scvelo_stc,-0.42668879,-0.169565469,-0.322723955,-0.35522446,-0.326733495
velovi,-0.227950841,0.052299201,-0.160821855,-0.228437752,-0.031895311
sdevelo,0.044957217,-0.173318714,-0.116633117,-0.206449196,-0.088035862
velovae_fullvb,0.004029572,-0.305059373,-0.225534424,-0.239050329,-0.296590583
deepvelo,0.386249483,0.429653108,0.371878803,0.447110534,0.323364764
velovae_std,-0.089398012,-0.380600631,0.121450126,-0.020332843,-0.141364274
