method,max_capacity,capacity_base,efficiency_bonus,scalability_score,overall_rank
sctour_mse,20000,4,0.9902234344351148,4.990223434435115,1
sctour_nb,20000,4,0.9836356841479907,4.983635684147991,2
sctour_zinb,20000,4,0.9745363966122105,4.97453639661221,3
velovi,20000,4,0.9679225248345699,4.96792252483457,4
unitvelo_uni,20000,4,0.9569502387159838,4.956950238715984,5
sdevelo,20000,4,0.9521355643394047,4.952135564339405,6
veloae,20000,4,0.9144383107490903,4.91443831074909,7
velocyto,20000,4,0.8705369859614417,4.870536985961442,8
velovae_std,20000,4,0.8647573666770013,4.864757366677002,9
unitvelo_ind,20000,4,0.8562699591538561,4.856269959153856,10
scvelo_stc,20000,4,0.8000943142236588,4.800094314223659,11
svelvetvae,20000,4,0.7880477675507258,4.788047767550726,12
deepvelo,20000,4,0.701549991516913,4.701549991516913,13
tivelo_simple,20000,4,0.6292318274542072,4.629231827454207,14
tivelo_std,20000,4,0.6219399986071588,4.621939998607159,15
dynamo_m1,20000,4,0.4851040599473104,4.48510405994731,16
velovae_fullvb,20000,4,0.4428459252842375,4.442845925284238,17
scvelo_dyn,15000,3,0.3048041516570399,3.3048041516570397,18
latentvelo_std,10000,2,0.7992718723906687,2.7992718723906687,19
kvelo,10000,2,0.06325680199335265,2.0632568019933526,20
pyrovelocity_m2,5000,1,0.8604359589161545,1.8604359589161545,21
pyrovelocity_m1,5000,1,0.8602529650341717,1.8602529650341717,22
graphvelo_std,5000,1,0.7343592927969728,1.7343592927969729,23
celldancer,5000,1,0.34100995145381163,1.3410099514538116,24
cell2fate,2000,0,0.7530122559878885,0.7530122559878885,25
