Method,cbdir_mean,cbdir_rank,icvcoh_mean,icvcoh_rank,direction_mean_rank,direction_rank,cto_mean,cto_rank,tsc_mean,tsc_rank,temporal_mean_rank,temporal_rank,dataset,class,Method_mapped
velocyto,0.11092406833333333,14.0,0.5470368723990368,23.0,18.5,21.0,0.5213118293133157,14.0,-0.12796254755442973,14.0,14.0,14.0,data03,3,Velocyto
scvelo_dyn,-0.3987383466666667,20.0,0.699688788481823,19.0,19.5,24.0,0.2939688122612432,25.0,-0.8222531106666667,23.0,24.0,25.0,data03,2,scVelo (dyn)
scvelo_stc,0.16242650833333333,12.0,0.5101044445552594,24.0,18.0,18.0,0.6539067240420754,7.0,0.3945048335042127,10.0,8.5,9.0,data03,3,scVelo (stc)
veloae,0.6558013833333333,6.0,0.9185486009979676,7.0,6.5,5.0,0.31670089879687396,22.0,-0.7884531713333334,20.0,21.0,20.0,data03,3,VeloAE
dynamo_m1,-0.58770899,22.0,0.8230276778529837,14.0,18.0,18.0,0.5206840237491586,15.0,-0.26110978796054995,16.0,15.5,15.0,data03,3,Dynamo (m1)
unitvelo_ind,0.64225814,8.0,0.9092332266277962,9.0,8.5,8.0,0.4991651322628226,16.0,-0.22485855384027398,15.0,15.5,15.0,data03,2,UniTVelo (ind)
unitvelo_uni,-0.02624698,15.0,0.8721046098459615,12.0,13.5,10.0,0.6747908004068419,2.0,0.8207801084678618,2.0,2.0,1.0,data03,1,UniTVelo (uni)
velovae_std,-0.6826368833333333,24.0,0.9282898478252185,4.0,14.0,13.0,0.32933024026317276,21.0,-0.832642043,25.0,23.0,23.0,data03,3,VeloVAE (std)
velovae_fullvb,-0.6861163966666667,25.0,0.9327139452858605,2.0,13.5,10.0,0.3331430320925362,20.0,-0.831224244,24.0,22.0,21.0,data03,3,VeloVAE (Full VB)
deepvelo,0.13863619,13.0,0.692092758593113,20.0,16.5,16.0,0.6303256122676434,9.0,0.36520173700028263,11.0,10.0,11.0,data03,3,DeepVelo
celldancer,0.5184628866666666,9.0,0.5498423323330218,22.0,15.5,15.0,0.6275396634595954,10.0,0.5995688466018599,9.0,9.5,10.0,data03,3,cellDancer
pyrovelocity_m1,-0.6333827799999999,23.0,0.8834204558050303,11.0,17.0,17.0,0.29644545079646273,24.0,-0.8125884593333333,22.0,23.0,23.0,data03,1,Pyro-Velocity (m1)
pyrovelocity_m2,0.6606038099999999,5.0,0.8981550883600979,10.0,7.5,6.0,0.658687204056695,6.0,0.8104270109447532,4.0,5.0,5.0,data03,1,Pyro-Velocity (m2)
kvelo,-0.32694416333333337,19.0,0.4619875456102718,25.0,22.0,25.0,0.3713294093010713,19.0,-0.7514821646666666,19.0,19.0,19.0,data03,3,  -velo
velovi,0.6872133166666666,4.0,0.9294796493081371,3.0,3.5,3.0,0.42899261075088235,18.0,-0.2771432272866729,18.0,18.0,18.0,data03,2,veloVI
sdevelo,0.4437249333333333,10.0,0.7770879914618035,17.0,13.5,10.0,0.5684234546197026,13.0,0.8232407881404135,1.0,7.0,7.0,data03,4,SDEvelo
cell2fate,-0.19750320999999996,17.0,0.8313105901584633,13.0,15.0,14.0,0.43275220725805214,17.0,-0.27241443948080335,17.0,17.0,17.0,data03,1,cell2fate
svelvetvae,0.43122079666666674,11.0,0.7971277207197502,15.0,13.0,9.0,0.7132921481342946,1.0,0.8023100040367394,7.0,4.0,3.0,data03,3,SvelvetVAE
latentvelo_std,0.6523766033333334,7.0,0.914526508588939,8.0,7.5,6.0,0.648538193221726,8.0,0.628746945405206,8.0,8.0,8.0,data03,1,LatentVelo (std)
tivelo_std,-0.19754422333333332,18.0,0.7460046851570663,18.0,18.0,18.0,0.5971129504551935,12.0,-0.022423351238986904,12.0,12.0,12.0,data03,3,TIVelo (std)
tivelo_simple,-0.17690904999999998,16.0,0.6564985920501065,21.0,18.5,21.0,0.5989063073094165,11.0,-0.02347414575111038,13.0,12.0,12.0,data03,3,TIVelo (simple)
sctour_mse,0.6935265666666667,3.0,0.9364942775479982,1.0,2.0,1.0,0.6680939467582675,3.0,0.8115011213810935,3.0,3.0,2.0,data03,1,scTour (MSE)
sctour_nb,0.6992667333333333,2.0,0.922990973909152,6.0,4.0,4.0,0.6601262791730312,5.0,0.8036963604239683,6.0,5.5,6.0,data03,1,scTour (NB)
sctour_zinb,0.7020538666666667,1.0,0.9271399669267247,5.0,3.0,2.0,0.6610204275427001,4.0,0.8063403694255049,5.0,4.5,4.0,data03,1,scTour (ZINB)
graphvelo_std,-0.5455018500000001,21.0,0.7856892053049188,16.0,18.5,21.0,0.30588037996000617,23.0,-0.8115710386666667,21.0,22.0,21.0,data03,3,GraphVelo (std)
velocyto,0.15321591499999998,6.0,0.39482559542212425,24.0,15.0,15.0,0.6741205919110661,4.0,0.6978047713103531,4.0,4.0,4.0,data10,3,Velocyto
scvelo_dyn,0.148253655,7.0,0.7240153348246207,16.0,11.5,7.0,0.5893132733715998,11.0,0.533453625626262,7.0,9.0,9.0,data10,2,scVelo (dyn)
scvelo_stc,0.08251102,11.0,0.394208672791548,25.0,18.0,23.0,0.6664422953334523,5.0,0.684892612149996,5.0,5.0,5.0,data10,3,scVelo (stc)
veloae,0.3324174066666667,2.0,0.8327676835966905,6.0,4.0,1.0,0.6415091324424156,6.0,0.5190329266439816,9.0,7.5,6.0,data10,3,VeloAE
dynamo_m1,-0.24195049000000002,20.0,0.7586979671130013,13.0,16.5,20.0,0.6779925504908508,3.0,0.7100001598642689,2.0,2.5,3.0,data10,3,Dynamo (m1)
unitvelo_ind,0.33631100333333336,1.0,0.8276012430756104,7.0,4.0,1.0,0.584017418528625,12.0,0.4479746139971857,12.0,12.0,12.0,data10,2,UniTVelo (ind)
unitvelo_uni,0.15873344666666667,5.0,0.6582263471503172,18.0,11.5,7.0,0.6001958321946322,9.0,0.651921187847864,6.0,7.5,6.0,data10,1,UniTVelo (uni)
velovae_std,-0.1469335833333333,18.0,0.7641948938377684,12.0,15.0,15.0,0.4615247847374026,17.0,-0.2647833732965987,17.0,17.0,17.0,data10,3,VeloVAE (std)
velovae_fullvb,-0.26276164333333335,21.0,0.8003150875665304,8.0,14.5,13.0,0.37700978313136546,20.0,-0.5208242333333333,20.0,20.0,20.0,data10,3,VeloVAE (Full VB)
deepvelo,-0.13121303333333334,17.0,0.8669067738463214,3.0,10.0,6.0,0.635040320004201,7.0,0.5288471628123013,8.0,7.5,6.0,data10,3,DeepVelo
celldancer,0.014961331666666668,15.0,0.446473853154469,23.0,19.0,24.0,0.33845343596117644,22.0,-0.6795138326666667,22.0,22.0,22.0,data10,3,cellDancer
pyrovelocity_m1,0.16064207466666666,4.0,0.6332713842878007,19.0,11.5,7.0,0.5057684493103305,15.0,0.08078461198608412,15.0,15.0,15.0,data10,1,Pyro-Velocity (m1)
pyrovelocity_m2,0.14330202733333333,8.0,0.7800906065358344,10.0,9.0,4.0,0.38957785880978557,19.0,-0.37683621533333334,19.0,19.0,19.0,data10,1,Pyro-Velocity (m2)
kvelo,0.10948204400000001,10.0,0.5084625198526816,22.0,16.0,19.0,0.41409030602262425,18.0,-0.30059710266666667,18.0,18.0,18.0,data10,3,  -velo
velovi,-0.17031442500000002,19.0,0.7565543595172531,14.0,16.5,20.0,0.5406996011125713,13.0,0.20369329298138553,13.0,13.0,13.0,data10,2,veloVI
sdevelo,0.20085075,3.0,0.7922773973383782,9.0,6.0,3.0,0.5931735491906406,10.0,0.4945345898241498,10.0,10.0,11.0,data10,4,SDEvelo
cell2fate,-0.2989812466666667,24.0,0.7390929159244024,15.0,19.5,25.0,0.2988442415622888,25.0,-0.7207076973333333,24.0,24.5,25.0,data10,1,cell2fate
svelvetvae,0.018197121666666666,14.0,0.6952249908779219,17.0,15.5,18.0,0.5295988727964831,14.0,0.17545241748429485,14.0,14.0,14.0,data10,3,SvelvetVAE
latentvelo_std,-0.2793101533333333,22.0,0.8829334032777858,1.0,11.5,7.0,0.330214545155798,23.0,-0.7284191256666667,25.0,24.0,24.0,data10,1,LatentVelo (std)
tivelo_std,0.036295096666666665,12.0,0.7648939425750466,11.0,11.5,7.0,0.6837191732535012,1.0,0.7094363062717135,3.0,2.0,2.0,data10,3,TIVelo (std)
tivelo_simple,0.030165525,13.0,0.6060301243634408,20.0,16.5,20.0,0.6815302635095052,2.0,0.7121162042112791,1.0,1.5,1.0,data10,3,TIVelo (simple)
sctour_mse,-0.32047643333333337,25.0,0.8429456542808432,4.0,14.5,13.0,0.34881914955961,21.0,-0.5408581983333334,21.0,21.0,21.0,data10,1,scTour (MSE)
sctour_nb,-0.29611761666666664,23.0,0.8350840293455907,5.0,14.0,12.0,0.3071549327062016,24.0,-0.696412548,23.0,23.5,23.0,data10,1,scTour (NB)
sctour_zinb,-0.11724608333333335,16.0,0.8770894659415882,2.0,9.0,4.0,0.4627591279511769,16.0,-0.16861116323879666,16.0,16.0,16.0,data10,1,scTour (ZINB)
graphvelo_std,0.14103935,9.0,0.5437103850557371,21.0,15.0,15.0,0.6118283481757362,8.0,0.47648000062388807,11.0,9.5,10.0,data10,3,GraphVelo (std)
