Method,time_1000(sec),time_2000(sec),time_5000(sec),time_10000(sec),time_15000(sec),time_20000(sec),mem_1000(MB),mem_2000(MB),mem_5000(MB),mem_10000(MB),mem_15000(MB),mem_20000(MB)
velocyto,6.074821464,4.788929063,8.85069069,18.83337,25.36160987,31.07465668,860.6720123,1711.527656,4263.878692,8518.029299,12772.19557,17026.17692
scvelo_dyn,375.3054838,467.7156709,872.3743225,2330.2516,3563.252627,,3974.09907,7908.298215,19710.25044,39380.46497,59050.97745,
scvelo_stc,11.31981895,12.36740514,25.6586094,47.79712065,71.63157437,90.87872077,1389.905273,2808.377064,6434.989129,12860.2341,19285.59315,25710.67791
veloae,1036.082904,1006.035998,1249.836191,1648.669228,2070.034307,2452.332821,2661.845703,2895.868652,3600.102051,4774.511719,5939.620605,7196.803711
dynamo_m1,313.8586417,500.7278972,575.1810032,741.6385888,886.3548235,1065.892168,6213.939635,12354.04317,17800.66005,31649.60192,47461.21629,63272.87492
pyrovelocity_m1,495.2756743,653.8885392,1783.647441,,,,1445.385254,2870.594727,7051.348145,,,
pyrovelocity_m2,476.6336516,668.2163601,1774.06353,,,,1445.385254,2870.594727,7051.348145,,,
unitvelo_uni,702.4827911,1411.081588,1160.599791,1193.794854,1481.440475,1496.524219,2091.558594,3600.416504,3573.622559,3618.591309,3604.22876,3608.105957
unitvelo_ind,2583.338255,6912.12791,7544.955772,8837.982245,9087.775199,8588.921019,2072.390625,3431.749023,3431.749023,3431.749023,3431.749023,3431.749023
velovae_std,934.5471225,1146.827508,1333.755412,2801.369203,4319.050132,5456.377539,421.6494141,828.625,2017.947266,4020.25293,6008.592773,8000.388672
velovae_fullvb,945.6629179,1375.208681,11924.72801,3436.174752,4695.448081,34765.95905,421.6962891,828.71875,2018.175781,4020.709961,6009.27832,8001.302734
kvelo,1758.690419,6980.882106,26195.27533,61178.57813,,,3457.006028,6901.242494,17233.83376,34454.88783,,
celldancer,2181.696855,2540.485458,8335.61254,,,,6558.759593,13123.32627,32425.06532,,,
velovi,269.2885049,511.2004392,282.4251124,447.3965836,653.6559051,901.699314,185.4282227,350.894043,855.8911133,1693.03418,2475.101563,3307.322754
latentvelo_std,2595.920714,2606.700584,6394.177018,18039.76958,,,474.9492188,933.421875,2309.904297,4605.452148,,
sctour_mse,532.3338187,553.8733319,562.521866,618.2074698,673.0079106,710.250406,68.12353516,110.2041016,236.4106445,447.2832031,657.5639648,867.90625
sctour_nb,556.706943,605.1664148,573.6103825,466.7780872,746.2011427,825.0203997,92.45117188,164.4785156,392.2792969,766.6303711,1117.075195,1483.92627
sctour_zinb,566.8960227,616.3458767,642.3297462,712.836259,796.369708,875.3669393,146.1191406,269.0019531,660.1503906,1302.370605,1901.602539,2529.154785
deepvelo,463.6088773,594.1177789,1039.048013,1754.742524,2627.371178,3374.276568,1961.841921,3547.528466,8304.587331,16236.37218,24172.70918,32111.01005
sdevelo,545.6074064,716.8610064,726.6149064,741.34368,749.5490421,769.567403,2756.295898,5515.081543,5515.081543,5515.081543,5515.081543,5515.081543
svelvetvae,241.4009023,220.2669343,508.6498291,1015.246628,1509.830597,1985.995776,1264.853516,2451.127441,6009.743652,11959.2832,17876.00391,23809.42432
cell2fate,2316.246169,2356.924112,,,,,1106.475098,2150.722168,,,,
tivelo_std,449.1671175,382.2506856,954.7549706,1745.564695,2690.260664,3634.366574,7844.581202,10152.82722,14503.94439,28601.95606,32558.14177,41579.84851
tivelo_simple,399.9573392,350.2377593,821.7799177,1480.705186,2270.069685,3127.803691,8540.941782,10772.93266,14895.27677,28612.01865,32558.14317,41579.8507
graphvelo_std,1520.017012,1759.645716,7108.883438,,,,3327.893044,4294.075422,8610.202626,,,
