Method,EES_mean,EES_rank,mc_mean,mc_rank,expKL_mean,expKL_rank,mc_matches_ees,point_color,Method_display
cell2fate,101.66692275308348,1,152.687966234786,1,0.6658476451035558,11,True,#38b48b,cell2fate
veloae,60.936668254799834,2,64.22648767746627,3,0.9487778400838716,1,False,#d0af4c,VeloAE
velocyto,44.05275565538192,3,72.4628042958345,2,0.6079361140307715,24,False,#d0af4c,Velocyto
scvelo_stc,37.14166978576453,4,58.30951262594309,4,0.6369744508761241,19,True,#38b48b,scVelo (stc)
tivelo_std,36.607755760748105,5,52.02079654698843,5,0.7037138642750634,6,True,#38b48b,TIVelo (std)
tivelo_simple,33.4534104917052,6,48.00412007062979,6,0.6968862348166006,7,True,#38b48b,TIVelo (simple)
kvelo,30.92164707822671,7,47.01897937828948,8,0.6576418179868969,15,False,#d0af4c,  -velo
deepvelo,29.699224745601885,8,47.02078926267392,7,0.6316190181260471,20,False,#d0af4c,DeepVelo
unitvelo_uni,24.03410159878555,9,37.62618746396663,9,0.6387599493518238,18,True,#38b48b,UniTVelo (uni)
velovi,19.698454594095132,10,30.11618061315241,10,0.654082097830572,16,True,#38b48b,veloVI
sctour_mse,19.67172763974444,11,24.8582488317745,13,0.7913561318365876,2,False,#d0af4c,scTour (MSE)
dynamo_m1,19.583140249616942,12,25.49930176918673,12,0.7679873130205135,3,True,#38b48b,Dynamo (m1)
unitvelo_ind,16.565562470781263,13,27.06869401084701,11,0.6119823314764681,22,False,#d0af4c,UniTVelo (ind)
velovae_std,15.225611855450433,14,21.93371227096873,15,0.6941648393739038,8,False,#d0af4c,VeloVAE (std)
graphvelo_std,14.890942325316125,15,20.835485485714084,16,0.7146914016247016,5,False,#d0af4c,GraphVelo (std)
scvelo_dyn,14.21877479094436,16,24.02603335219894,14,0.591807002950115,25,False,#d0af4c,scVelo (dyn)
velovae_fullvb,13.572333991362312,17,20.100376488503233,17,0.6752278495442734,10,True,#38b48b,VeloVAE (Full VB)
celldancer,12.929505605234619,18,19.541466347066446,18,0.6616445959376834,12,True,#38b48b,cellDancer
sdevelo,11.83432847878119,19,16.139349968570148,19,0.7332593011383619,4,True,#38b48b,SDEvelo
sctour_zinb,10.230724910661989,20,14.870148574164531,22,0.6880042159388307,9,False,#d0af4c,scTour (ZINB)
latentvelo_std,10.0367298264939,21,15.669686244016255,20,0.6405188763959203,17,False,#d0af4c,LatentVelo (std)
svelvetvae,9.378080345266364,22,15.302525151841024,21,0.6128452822139685,21,False,#d0af4c,SvelvetVAE
sctour_nb,8.901925178615459,23,13.476247919388642,23,0.6605640703454274,14,True,#38b48b,scTour (NB)
pyrovelocity_m2,7.491390478161879,24,11.340326615608346,24,0.6605974177014484,13,True,#38b48b,Pyro-Velocity (m2)
pyrovelocity_m1,6.721601122277235,25,10.99334951419616,25,0.6114243082690456,23,True,#38b48b,Pyro-Velocity (m1)
