Method,GD,DL1,DL2,overall_mean,rank
LatentVelo,1,1,1,0.88279514,1
scTour (ZINB),1,1,1,0.864580592,2
VeloVAE (Full VB),1,1,1,0.85294752,3
VeloAE,1,1,2,0.844006454,4
scTour (NB),1,1,1,0.843755784,5
UniTVelo (uni),1,0,3,0.832694932,6
Pyro-Velocity (m2),1,0,3,0.820095139,7
veloVI,1,1,1,0.811729098,8
Pyro-Velocity (m1),1,0,3,0.797014041,9
DeepVelo,1,1,2,0.79202378,10
UniTVelo (ind),0,0,3,0.784562941,11
SDEvelo,1,0,3,0.782349604,12
VeloVAE,1,1,1,0.777223538,13
scVelo (dyn),0,0,3,0.746477359,14
cell2fate,1,0,3,0.737425014,15
TIVelo,0,0,3,0.722692902,16
Dynamo (m1),0,0,3,0.717656333,17
SvelvetVAE,1,1,1,0.714852168,18
GraphVelo,0,0,3,0.679454678,19
scTour (MSE),1,1,1,0.660844948,20
cellDancer,0,1,2,0.648073341,21
scVelo (stc),0,0,3,0.63639659,22
TIVelo (simple),0,0,3,0.633789679,23
Velocyto,0,0,3,0.610788376,24
  -velo,0,0,3,0.554243947,25
