Method,mean_dataset_mean,rank
LatentVelo (std),0.8780022588005811,1
scTour (ZINB),0.8642535777241498,2
scTour (NB),0.8429817156476457,3
UniTVelo (uni),0.8421276135560258,4
VeloAE,0.8394047649348769,5
VeloVAE (Full VB),0.8378626232112536,6
Pyro-Velocity (m2),0.8211093719885002,7
veloVI,0.8066242029875046,8
Pyro-Velocity (m1),0.7873737662292127,9
DeepVelo,0.7784588936349875,10
UniTVelo (ind),0.7737201717335555,11
VeloVAE (std),0.7594420450312797,12
SDEvelo,0.7580092579890081,13
scVelo (dyn),0.73991669640921,14
TIVelo (std),0.7269961186737774,15
SvelvetVAE,0.7079579263663794,16
cell2fate,0.7063760931599342,17
Dynamo (m1),0.6926512615558665,18
scVelo (stc),0.6553235543600142,19
GraphVelo (std),0.653930952601743,20
scTour (MSE),0.6534530135835718,21
cellDancer,0.646390448357259,22
TIVelo (simple),0.6383411253054652,23
Velocyto,0.6216038009698901,24
  -velo,0.5729621889805641,25
