Method,cbdir_mean,cbdir_rank,icvcoh_mean,icvcoh_rank,direction_mean_rank,direction_rank,cto_mean,cto_rank,tsc_mean,tsc_rank,temporal_mean_rank,temporal_rank,class,Method_mapped
cell2fate,-0.24824222833333331,22.0,0.7852017530414329,12.0,17.0,16.0,0.36579822441017046,24.0,-0.4965610684070683,22.0,23.0,22.0,1,cell2fate
celldancer,0.2667121091666667,6.0,0.49815809274374545,22.0,14.0,11.0,0.4829965497103859,17.0,-0.039972493032403356,16.0,16.5,17.0,3,cellDancer
deepvelo,0.0037115783333333354,15.0,0.7794997662197171,14.0,14.5,12.0,0.6326829661359222,5.0,0.4470244499062919,5.0,5.0,5.0,3,DeepVelo
dynamo_m1,-0.41482974,24.0,0.7908628224829926,11.0,17.5,18.0,0.5993382871200047,7.0,0.22444518595185947,10.0,8.5,8.0,3,Dynamo (m1)
graphvelo_std,-0.20223125,20.0,0.6646997951803278,20.0,20.0,24.0,0.4588543640678712,19.0,-0.16754551902138934,20.0,19.5,19.0,3,GraphVelo (std)
kvelo,-0.10873105966666664,18.0,0.4852250327314767,23.0,20.5,25.0,0.39270985766184774,23.0,-0.5260396336666667,23.0,23.0,22.0,3,  -velo
latentvelo_std,0.18653322500000002,10.0,0.8987299559333625,2.0,6.0,4.0,0.48937636918876204,14.0,-0.04983609013073035,17.0,15.5,16.0,1,LatentVelo (std)
pyrovelocity_m1,-0.23637035266666664,21.0,0.7583459200464154,16.0,18.5,20.0,0.40110695005339664,21.0,-0.3659019236736247,21.0,21.0,21.0,1,Pyro-Velocity (m1)
pyrovelocity_m2,0.40195291866666666,3.0,0.8391228474479663,10.0,6.5,5.0,0.5241325314332402,12.0,0.21679539780570992,11.0,11.5,11.0,1,Pyro-Velocity (m2)
sctour_mse,0.18652506666666668,11.0,0.8897199659144208,3.0,7.0,7.0,0.5084565481589388,13.0,0.1353214615238801,12.0,12.5,13.0,1,scTour (MSE)
sctour_nb,0.20157455833333335,9.0,0.8790375016273714,4.0,6.5,5.0,0.4836406059396164,16.0,0.053641906211984114,14.0,15.0,14.0,1,scTour (NB)
sctour_zinb,0.29240389166666664,5.0,0.9021147164341565,1.0,3.0,1.0,0.5618897777469385,10.0,0.3188646030933541,8.0,9.0,10.0,1,scTour (ZINB)
scvelo_dyn,-0.12524234583333332,19.0,0.7118520616532219,19.0,19.0,22.0,0.44164104281642147,20.0,-0.14439974252020235,19.0,19.5,19.0,2,scVelo (dyn)
scvelo_stc,0.12246876416666667,13.0,0.4521565586734037,25.0,19.0,22.0,0.6601745096877639,1.0,0.5396987228271043,3.0,2.0,1.0,3,scVelo (stc)
sdevelo,0.3222878416666667,4.0,0.7846826944000909,13.0,8.5,9.0,0.5807985019051717,9.0,0.6588876889822816,2.0,5.5,7.0,4,SDEvelo
svelvetvae,0.22470895916666667,8.0,0.7461763557988362,18.0,13.0,10.0,0.6214455104653889,6.0,0.48888121076051716,4.0,5.0,5.0,3,SvelvetVAE
tivelo_simple,-0.07337176249999999,16.0,0.6312643582067737,21.0,18.5,20.0,0.6402182854094608,3.0,0.3443210292300844,6.0,4.5,3.0,3,TIVelo (simple)
tivelo_std,-0.08062456333333333,17.0,0.7554493138660564,17.0,17.0,16.0,0.6404160618543474,2.0,0.34350647751636326,7.0,4.5,3.0,3,TIVelo (std)
unitvelo_ind,0.48928457166666667,2.0,0.8684172348517033,6.0,4.0,3.0,0.5415912753957238,11.0,0.11155803007845584,13.0,12.0,12.0,2,UniTVelo (ind)
unitvelo_uni,0.06624323333333333,14.0,0.7651654784981394,15.0,14.5,12.0,0.6374933163007371,4.0,0.7363506481578629,1.0,2.5,2.0,1,UniTVelo (uni)
veloae,0.494109395,1.0,0.8756581422973291,5.0,3.0,1.0,0.4791050156196448,18.0,-0.13471012234467586,18.0,18.0,18.0,3,VeloAE
velocyto,0.13206999166666666,12.0,0.4709312339105805,24.0,18.0,19.0,0.5977162106121909,8.0,0.2849211118779617,9.0,8.5,8.0,3,Velocyto
velovae_fullvb,-0.47443902,25.0,0.8665145164261955,7.0,16.0,15.0,0.3550764076119508,25.0,-0.6760242386666667,25.0,25.0,25.0,3,VeloVAE (Full VB)
velovae_std,-0.41478523333333334,23.0,0.8462423708314936,8.0,15.5,14.0,0.3954275125002877,22.0,-0.5487127081482993,24.0,23.0,22.0,3,VeloVAE (std)
velovi,0.25844944583333335,7.0,0.8430170044126951,9.0,8.0,8.0,0.4848461059317269,15.0,-0.03672496715264367,15.0,15.0,14.0,2,veloVI
