Method,SS
velocyto,0.38203605125550494
scvelo_dyn,0.5278134273833012
scvelo_stc,0.5134245296520431
veloae,0.47676590042267075
dynamo_m1,0.4211237334727318
unitvelo_ind,0.5011149828721411
unitvelo_uni,0.7907336529262814
velovae_std,0.43790717807938667
velovae_fullvb,0.3128039223155779
deepvelo,0.3276688135232562
celldancer,0.5399486766982109
pyrovelocity_m1,0.5173713456493086
pyrovelocity_m2,0.6910044124847764
kvelo,0.30909824665929425
velovi,0.33703543884107456
sdevelo,0.797710848403252
cell2fate,0.3284237904133846
svelvetvae,0.756656687619774
latentvelo_std,0.20709599838464016
tivelo_std,0.3914373125137202
tivelo_simple,0.37018812716323213
sctour_mse,0.33770195543499515
sctour_nb,0.4256927272834252
sctour_zinb,0.42402507206288514
graphvelo_std,0.44487395916468986
